NOUN, ADJ, 
screen, black, 
hopes, high, 
review, scathing, 
actions, long, 
story, ended, 
concept, good, 
ending, good, 
vibes, good, 
app, Interesting, 
story, interactive, 
things, wrong, 
content, more, 
ending, other, 
ending, last, 
choices, many, 
music, weird, 
screen, black, 
day, past, 
game, awsome, 
money, much, 
fan, huge, 
pets, virtual, 
collector, avid, 
skips, arbitrary, 
weeks, few, 
time, real, 
points, various, 
vpet, good, 
horror, good, 
concept, decent, 
guy, last, 
gotchi, new, 
guy, last, 
game, Good, 
game, good, 
game, worth, 
endings, new, 
screen, blank, 
screen, black, 
screen, terrible, 
screen, black, 
game, spooky, 
game, thought, 
tone, pretty, 
tone, dark, 
angle, current, 
game, okay, 
games, other, 
game, favorite, 
screen, blank, 
option, save, 
tamagotchi, old, 
90s, early, 
things, perverted, 
screen, black, 
screen, black, 
youtubers, other, 
screen, black, 
screen, black, 
game, worst, 
game, good, 
GIRL, GREEN, 
screen, black, 
screen, black, 
